chi_square;degrees_of_freedom;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
51.00037468618283;37.0;P_of_S;total dissipation;-;1.5;40.5;39;200;(2.96+/-0.07)e+03;2.074+/-0.011;4836.018339888637;0.7274481982277851;0.0001233481900117
72.12566640939033;37.0;P_of_T;lifetime;-;1.5;40.5;39;200;(3.78+/-0.07)e+03;2.041+/-0.009;5240.07833879745;0.640561458572995;8.596371243164673e-05
193.6643025813181;7.0;P_of_L;spatial linear size;-;1.5;10.5;9;200;(2.82+/-0.08)e+03;1.824+/-0.018;5732.274601353848;1.248616288502664;0.0003123046603286
235.02134390558223;37.0;E_of_S_T;total dissipation;lifetime;1.5;40.5;39;200;0.766+/-0.004;1.4644+/-0.0029;1.626476892602508e-05;-1.0070803792945836e-05;8.358130638580312e-06
94.3943746767529;37.0;E_of_T_S;lifetime;total dissipation;1.5;40.5;39;200;1.285+/-0.007;1.459+/-0.005;4.284785296469139e-05;2.9862563415284408e-05;2.4179831155647444e-05
442.3405152125402;22.0;E_of_S_L;total dissipation;spatial linear size;1.5;25.5;24;200;1.512+/-0.021;1.746+/-0.008;0.0004516747599134;-0.0001597882525849;6.392700313145888e-05
140.32620039470294;22.0;E_of_L_S;spatial linear size;total dissipation;1.5;25.5;24;200;0.664+/-0.004;1.451+/-0.007;1.8258002979731408e-05;2.4891949649307385e-05;4.2716136615319205e-05
143.0963753006288;12.0;E_of_T_L;lifetime;spatial linear size;1.5;15.5;14;200;1.804+/-0.015;1.119+/-0.005;0.0002379765861088;-7.603029162714947e-05;2.7659793028920527e-05
400.5186622204337;27.0;E_of_L_T;spatial linear size;lifetime;1.5;30.5;29;200;0.6005+/-0.0029;1.0903+/-0.0027;8.42413583204053e-06;7.224065286977459e-06;7.4280382494818584e-06
