chi_square;degrees_of_freedom;chi_square_ndof;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
391.6214010854944;297.0;1.3185905760454355;P_of_S;total dissipation;-;1.5;300.5;299;200;(3.55+/-0.07)e+03;2.159+/-0.006;4437.735056763785;0.3949148824652756;3.882103725686408e-05
337.3663509162092;295.0;1.1436147488685058;P_of_T;lifetime;-;3.5;300.5;297;200;(5.29+/-0.12)e+03;2.187+/-0.007;13255.906670084036;0.7268226643409268;4.236710910077264e-05
282.89552357360475;47.0;6.019053693055421;P_of_L;spatial linear size;-;1.5;50.5;49;200;(3.55+/-0.06)e+03;2.019+/-0.008;3984.3984084146127;0.4615729719835982;5.892997516874392e-05
257.3257384502947;242.0;1.0633294977284904;E_of_S_T;total dissipation;lifetime;6.5;250.5;244;200;0.561+/-0.006;1.5769+/-0.0031;3.646846874182359e-05;-1.783920877992718e-05;9.757163443172833e-06
251.7438299339764;241.0;1.0445802071949226;E_of_T_S;lifetime;total dissipation;7.5;250.5;243;200;1.433+/-0.012;1.543+/-0.005;0.000132562470238;5.74799543536708e-05;2.699349552857141e-05
107.87551560577496;61.0;1.7684510755045075;E_of_S_L;total dissipation;spatial linear size;7.5;70.5;63;200;0.591+/-0.022;2.132+/-0.013;0.0004792944016819;-0.0002692894819121;0.0001577030069449
138.1778557452826;92.0;1.5019332146226372;E_of_L_S;spatial linear size;total dissipation;6.5;100.5;94;200;0.917+/-0.011;1.773+/-0.012;0.0001303276466511;0.0001284734167737;0.0001352543413688
98.68579665588332;61.0;1.6177999451784149;E_of_T_L;lifetime;spatial linear size;7.5;70.5;63;200;1.158+/-0.021;1.309+/-0.006;0.0004416598791335;-0.0001249486954244;3.722131460887912e-05
298.684444151041;191.0;1.563792901314351;E_of_L_T;spatial linear size;lifetime;7.5;200.5;193;200;0.818+/-0.007;1.2472+/-0.0035;4.4464842453954565e-05;2.240093728523199e-05;1.226738921884612e-05
