chi_square1;degrees_of_freedom1;chi_square_ndof1;chi_square2;degrees_of_freedom2;chi_square_ndof2;fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
314.3079118315381;242.0;1.2987930240972652;117.49921463911632;61.0;1.9262166334281363;gamma1_gamma3_1;6.5;250.5;244;7.5;70.5;63;200;2.071+/-0.011;200
300.96524710369647;241.0;1.2488184527124335;316.038694455177;191.0;1.6546528505506648;gamma1_gamma3_2;7.5;250.5;243;7.5;200.5;193;200;1.9468+/-0.0021;200
