number;lifetime;total dissipation;spatial linear size
29030;173;3464.0;57.42821606144492
29031;14;20.0;5.385164807134504
29032;78;484.0;32.7566787083184
29033;21;79.0;13.038404810405298
29034;1;1.0;0.0
29035;3;4.0;1.4142135623730951
29036;1;1.0;0.0
29037;9;13.0;3.605551275463989
29038;105;1572.0;36.235341863986875
29039;2;2.0;1.0
29040;18;39.0;11.180339887498949
29041;5;5.0;1.4142135623730951
29042;311;6366.0;53.33854141237835
29043;43;155.0;17.804493814764857
29044;19;40.0;9.486832980505138
29045;27;112.0;14.035668847618199
29046;28;117.0;11.313708498984761
29047;2;3.0;1.0
29048;8;28.0;4.123105625617661
29049;2;2.0;1.0
29050;96;868.0;34.48187929913333
29051;25;86.0;10.816653826391969
29052;1;1.0;0.0
29053;19;62.0;8.54400374531753
29054;5;8.0;2.23606797749979
29055;2;3.0;1.0
29056;292;9275.0;69.8927750200262
29057;268;3566.0;99.76472322419383
29058;3;3.0;2.0
29059;17;42.0;8.94427190999916
29060;188;2664.0;48.25971404805462
29061;1;1.0;0.0
29062;31;154.0;13.601470508735444
29063;3;4.0;2.0
29064;119;1104.0;47.01063709417264
29065;33;92.0;14.560219778561036
29066;5;6.0;2.8284271247461903
29067;1;1.0;0.0
29068;12;37.0;6.4031242374328485
29069;1;1.0;0.0
29070;27;104.0;10.770329614269007
29071;82;577.0;21.540659228538015
29072;5;5.0;2.8284271247461903
29073;39;130.0;18.110770276274835
29074;1;1.0;0.0
29075;1;1.0;0.0
29076;13;35.0;5.385164807134504
29077;16;56.0;11.180339887498949
29078;5;7.0;2.0
29079;2;2.0;1.0
29080;86;410.0;28.284271247461902
29081;383;6660.0;86.68333173107735
29082;1;1.0;0.0
29083;1;1.0;0.0
29084;7;10.0;3.605551275463989
29085;188;2155.0;65.86349520030045
29086;9;35.0;5.830951894845301
29087;1;1.0;0.0
29088;1;1.0;0.0
29089;1;1.0;0.0
29090;187;2732.0;59.30430001273095
29091;2;2.0;1.0
29092;475;10865.0;71.06335201775947
29093;3;3.0;1.4142135623730951
29094;44;172.0;12.36931687685298
29095;151;1686.0;41.43669871020132
29096;11;31.0;7.0710678118654755
29097;7;12.0;4.47213595499958
29098;22;62.0;9.433981132056603
29099;1;1.0;0.0
29100;71;352.0;23.08679276123039
29101;1;1.0;0.0
29102;35;156.0;16.278820596099706
29103;33;289.0;14.142135623730951
29104;1;1.0;0.0
29105;9;18.0;5.0
29106;1;1.0;0.0
29107;2;2.0;1.0
29108;1;1.0;0.0
29109;1;1.0;0.0
29110;30;97.0;8.94427190999916
29111;10;25.0;5.385164807134504
29112;177;2090.0;38.2099463490856
29113;11;33.0;7.0710678118654755
29114;79;639.0;32.31098884280702
29115;30;78.0;15.297058540778355
29116;13;27.0;6.4031242374328485
29117;21;67.0;10.63014581273465
29118;3;4.0;1.4142135623730951
29119;1;1.0;0.0
29120;10;18.0;4.123105625617661
29121;7;13.0;4.47213595499958
29122;1;1.0;0.0
29123;1;1.0;0.0
29124;7;12.0;4.242640687119285
29125;63;428.0;28.792360097775937
29126;125;2677.0;40.52159917870962
29127;26;72.0;7.615773105863909
29128;27;54.0;10.198039027185569
29129;4;4.0;1.4142135623730951
29130;14;50.0;6.708203932499369
29131;24;74.0;12.806248474865697
29132;2;2.0;1.0
29133;1;1.0;0.0
29134;1;1.0;0.0
29135;35;122.0;13.038404810405298
29136;88;779.0;27.16615541441225
29137;1;1.0;0.0
29138;307;6369.0;80.2807573457052
29139;1;1.0;0.0
29140;1;1.0;0.0
29141;6;6.0;2.8284271247461903
29142;4;6.0;1.4142135623730951
29143;1;1.0;0.0
29144;60;531.0;27.16615541441225
29145;5;8.0;3.1622776601683795
29146;15;54.0;7.0710678118654755
29147;79;777.0;21.18962010041709
29148;68;276.0;21.840329667841555
29149;13;30.0;6.708203932499369
29150;1;1.0;0.0
29151;3;3.0;1.4142135623730951
29152;1;1.0;0.0
29153;8;25.0;5.0
29154;3;3.0;1.4142135623730951
29155;14;34.0;5.656854249492381
29156;3;5.0;1.4142135623730951
29157;8;11.0;3.605551275463989
29158;11;33.0;6.0
29159;148;2608.0;46.06517122512408
29160;149;1216.0;28.231188426986208
29161;9;15.0;6.082762530298219
29162;29;98.0;9.848857801796104
29163;3;3.0;1.4142135623730951
29164;344;11680.0;67.35725647619564
29165;8;20.0;4.47213595499958
29166;27;66.0;11.704699910719626
29167;6;7.0;2.23606797749979
29168;1;1.0;0.0
29169;91;361.0;18.027756377319946
29170;73;356.0;28.30194339616981
29171;1;1.0;0.0
29172;2;2.0;1.0
29173;94;1360.0;32.28002478313795
29174;55;273.0;18.867962264113206
29175;2;2.0;1.0
29176;24;67.0;10.04987562112089
29177;4;7.0;2.23606797749979
29178;1;1.0;0.0
29179;48;447.0;21.095023109728988
29180;241;2137.0;54.817880294662984
29181;5;6.0;2.23606797749979
29182;191;1947.0;32.7566787083184
29183;5;9.0;2.23606797749979
29184;13;38.0;4.123105625617661
29185;213;3359.0;70.178344238091
29186;74;915.0;19.72308292331602
29187;18;57.0;7.0710678118654755
29188;1;1.0;0.0
29189;14;31.0;6.324555320336759
29190;1;1.0;0.0
29191;202;3632.0;53.907327887774215
29192;1;1.0;0.0
29193;42;121.0;18.35755975068582
29194;5;6.0;2.23606797749979
29195;2;2.0;1.0
29196;4;9.0;2.23606797749979
29197;64;369.0;28.160255680657446
29198;53;361.0;31.016124838541646
29199;39;117.0;20.808652046684813
29200;51;186.0;17.08800749063506
29201;78;424.0;20.518284528683193
29202;336;4806.0;100.22474744293447
29203;1;1.0;0.0
29204;1;1.0;0.0
29205;595;8432.0;81.04936767180853
29206;33;182.0;13.341664064126334
29207;66;718.0;22.20360331117452
29208;231;2247.0;45.27692569068709
29209;7;16.0;5.0990195135927845
29210;3;5.0;2.0
29211;4;5.0;2.0
29212;1;1.0;0.0
29213;2;2.0;1.0
29214;3;3.0;1.4142135623730951
29215;2;3.0;1.0
29216;3;3.0;1.4142135623730951
29217;74;439.0;33.24154027718932
29218;233;2573.0;58.69412236331676
29219;3;5.0;2.0
29220;3;3.0;1.4142135623730951
29221;11;16.0;3.1622776601683795
29222;5;8.0;2.23606797749979
29223;116;980.0;40.24922359499622
29224;127;1496.0;28.42534080710379
29225;3;5.0;1.4142135623730951
29226;2;2.0;1.0
29227;74;738.0;30.4138126514911
29228;23;98.0;12.649110640673518
29229;55;511.0;27.018512172212592
29230;468;15063.0;78.54934754662193
29231;124;962.0;49.09175083453431
29232;16;52.0;7.211102550927978
29233;13;33.0;6.4031242374328485
29234;8;14.0;4.47213595499958
29235;113;493.0;31.144823004794873
29236;1;1.0;0.0
29237;44;258.0;18.788294228055936
29238;105;979.0;25.632011235952593
29239;43;310.0;14.866068747318506
29240;13;18.0;5.385164807134504
29241;1;1.0;0.0
29242;3;3.0;1.4142135623730951
29243;198;2768.0;73.05477397131553
29244;15;55.0;8.06225774829855
29245;6;8.0;2.23606797749979
29246;140;853.0;43.18564576337837
29247;65;467.0;20.12461179749811
29248;3;4.0;1.4142135623730951
29249;27;113.0;11.40175425099138
29250;91;434.0;33.301651610693426
29251;5;7.0;2.23606797749979
29252;13;25.0;6.082762530298219
29253;314;2957.0;71.5122367151245
29254;11;27.0;5.0990195135927845
29255;1;1.0;0.0
29256;42;108.0;17.11724276862369
29257;4;4.0;2.23606797749979
29258;2;2.0;1.0
29259;196;2644.0;53.150729063673246
29260;1;1.0;0.0
29261;34;188.0;20.808652046684813
29262;1;1.0;0.0
29263;6;14.0;3.1622776601683795
29264;1;1.0;0.0
29265;23;64.0;9.848857801796104
29266;34;111.0;15.264337522473747
29267;11;21.0;4.123105625617661
29268;3;4.0;1.4142135623730951
29269;48;299.0;18.788294228055936
29270;73;450.0;29.832867780352597
29271;44;186.0;16.64331697709324
29272;5;7.0;2.23606797749979
29273;21;44.0;10.44030650891055
29274;118;735.0;37.12142238654117
29275;14;41.0;5.0
29276;2;2.0;1.0
29277;1;1.0;0.0
29278;23;70.0;5.830951894845301
29279;11;22.0;4.47213595499958
29280;8;9.0;4.47213595499958
29281;1;1.0;0.0
29282;3;3.0;1.4142135623730951
29283;5;5.0;3.1622776601683795
29284;9;19.0;4.47213595499958
29285;400;7919.0;71.02816342831905
29286;36;149.0;9.219544457292887
29287;3;4.0;2.0
29288;47;141.0;17.11724276862369
29289;230;1580.0;41.6293165929973
29290;30;144.0;9.0
29291;38;182.0;20.223748416156685
29292;18;51.0;9.486832980505138
29293;91;666.0;31.953090617340916
29294;1;1.0;0.0
29295;297;3122.0;81.39410298049853
29296;336;10555.0;57.21887800367987
29297;320;3928.0;81.15417426109393
29298;1;1.0;0.0
29299;372;5508.0;100.30453628824571
29300;333;4046.0;71.16881339463234
29301;8;19.0;2.8284271247461903
29302;162;2188.0;35.0
29303;14;42.0;8.48528137423857
29304;4;4.0;2.23606797749979
29305;5;6.0;2.8284271247461903
29306;158;2953.0;37.8549864614954
29307;218;1708.0;59.135437767890075
29308;49;351.0;14.7648230602334
29309;3;6.0;2.0
29310;1;1.0;0.0
29311;18;54.0;6.4031242374328485
29312;86;533.0;24.596747752497688
