chi_square1;degrees_of_freedom1;chi_square2;degrees_of_freedom2;fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
307.7760696692614;93.0;19.33315505590095;8.0;gamma1_gamma3_1;5.0;100.0;95;5.0;15.0;10;200;1.864+/-0.017;200
368.6994470046794;293.0;181.79346538878158;73.0;gamma1_gamma3_2;5.0;300.0;295;5.0;80.0;75;200;1.9831+/-0.0015;200
