,name,unc_up,unc_lo
0,P_of_S,0.011661903789690798,0.10017983829094555
1,P_of_T,0.1212023102090055,0.062393909959226265
2,P_of_L,0.1312440474840671,0.09633275663033823
3,E_of_S_T,0.02859108252585059,0.1129482182241048
4,E_of_T_S,0.026683328128252692,0.09818350166906849
5,E_of_S_L,0.2053509191603486,0.3811889295349484
6,E_of_L_S,0.06888396039717815,0.3012009296134392
7,E_of_T_L,0.0743303437365926,0.19212756179163878
8,E_of_L_T,0.056308880294319505,0.16993604679408067
9,gamma1_gamma3_1,0.15140013210033848,0.44413624035874416
10,gamma1_gamma3_2,0.1402157266500446,0.3700059594114669
