,name,unc_up,unc_lo
0,P_of_S,0.1283160161476342,0.072560319734687
1,P_of_T,0.5359154253445404,0.1291239714383043
2,P_of_L,0.611596272061889,0.09300537618869134
3,E_of_S_T,0.01878829422805585,0.19816155025635016
4,E_of_T_S,0.08714355971613734,0.15807909412695903
5,E_of_S_L,0.10358088626768938,0.4597934318800127
6,E_of_L_S,0.07203471385380786,0.7451939344895395
7,E_of_T_L,0.1004987562112089,0.19625493624365217
8,E_of_L_T,0.10024470060806194,0.23710335299189686
9,gamma1_gamma3_1,0.10198039027185571,0.5713501553338375
10,gamma1_gamma3_2,0.2893116831377536,0.5715059142301153
