chi_square;degrees_of_freedom;chi_square_ndof;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
61.7230297468663;37.0;1.6681899931585489;P_of_S;total dissipation;-;1.5;40.5;39;200;(6.47+/-0.11)e+03;2.036+/-0.008;12943.165068855804;0.883003640488775;6.687405886391018e-05
68.20414124539735;37.0;1.843355168794523;P_of_T;lifetime;-;1.5;40.5;39;200;(8.1+/-2.2)e+03;2.0+/-0.5;5030765.666567345;1099.6536382777772;0.240653447747353
429.2262616634107;7.0;61.31803738048724;P_of_L;spatial linear size;-;1.5;10.5;9;200;(6.23+/-0.13)e+03;1.753+/-0.014;17078.827170991946;1.6873582213098786;0.0001854308182602
74.4432877334745;7.0;10.634755390496355;E_of_S_T;total dissipation;lifetime;1.5;10.5;9;200;0.824+/-0.004;1.404+/-0.004;1.6886611648661404e-05;-1.4108660774617922e-05;1.5169871687873328e-05
163.25804700977318;37.0;4.412379648912789;E_of_T_S;lifetime;total dissipation;1.5;40.5;39;200;1.280+/-0.005;1.453+/-0.004;2.783599482030844e-05;1.749773976018327e-05;1.2926956701144156e-05
1009.9397357919182;22.0;45.906351626905376;E_of_S_L;total dissipation;spatial linear size;1.5;25.5;24;200;1.467+/-0.013;1.769+/-0.005;0.0001613790263708;-5.701764118022349e-05;2.245624619124153e-05
266.087920093653;22.0;12.094905458802408;E_of_L_S;spatial linear size;total dissipation;1.5;25.5;24;200;0.684+/-0.004;1.481+/-0.006;1.2832029070355224e-05;1.834868479208108e-05;3.07942586592738e-05
353.8427278063603;12.0;29.48689398386336;E_of_T_L;lifetime;spatial linear size;1.5;15.5;14;200;1.797+/-0.010;1.1240+/-0.0035;0.0001092177451054;-3.430076137513909e-05;1.1951344708254716e-05
595.6228600462043;27.0;22.060105927637196;E_of_L_T;spatial linear size;lifetime;1.5;30.5;29;200;0.6178+/-0.0021;1.1057+/-0.0020;4.487438474302747e-06;3.808878483907003e-06;3.824721753383273e-06
