chi_square;degrees_of_freedom;chi_square_ndof;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
73.2294454038552;37.0;1.9791742001041943;P_of_S;total dissipation;-;1.5;40.5;39;200;(6.30+/-0.10)e+03;2.029+/-0.007;9461.70300875473;0.6616083573043421;5.3495375542576e-05
92.23171347824876;37.0;2.4927490129256418;P_of_T;lifetime;-;1.5;40.5;39;200;(7.9+/-1.5)e+03;1.97+/-0.34;2228640.97393507;499.9246766890285;0.1124367056388217
532.9965674523731;7.0;76.14236677891044;P_of_L;spatial linear size;-;1.5;10.5;9;200;(6.06+/-0.13)e+03;1.734+/-0.015;17262.973465695566;1.833620292932856;0.0002104834681611
503.5288102950993;37.0;13.608886764732414;E_of_S_T;total dissipation;lifetime;1.5;40.5;39;200;0.7650+/-0.0029;1.4655+/-0.0019;8.40969055284551e-06;-5.020541079333096e-06;3.8021302801142094e-06
111.57896963647892;37.0;3.015647828012944;E_of_T_S;lifetime;total dissipation;1.5;40.5;39;200;1.291+/-0.004;1.4596+/-0.0033;1.968446481714087e-05;1.3564791039765642e-05;1.1037383185267977e-05
962.9969250204916;22.0;43.77258750093144;E_of_S_L;total dissipation;spatial linear size;1.5;25.5;24;200;1.470+/-0.013;1.768+/-0.004;0.000156827496985;-5.215506271918752e-05;1.959311373631256e-05
304.4473301914245;22.0;13.838515008701114;E_of_L_S;spatial linear size;total dissipation;1.5;25.5;24;200;0.691+/-0.004;1.492+/-0.005;1.4025480649419585e-05;1.8710024622536515e-05;2.8858074795101323e-05
317.8721745541357;12.0;26.48934787951131;E_of_T_L;lifetime;spatial linear size;1.5;15.5;14;200;1.839+/-0.011;1.1134+/-0.0035;0.0001192229004418;-3.638552497477622e-05;1.2528205523226338e-05
662.2670089695372;27.0;24.52840773961249;E_of_L_T;spatial linear size;lifetime;1.5;30.5;29;200;0.6197+/-0.0023;1.1078+/-0.0021;5.159258238129055e-06;4.330595950257779e-06;4.273264566692316e-06
