fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
P_of_S;total dissipation;-;5.0;500.0;494;200;(9.37+/-0.16)e+03;2.087+/-0.004;24581.205845568165;0.6632613442066001;1.878345272121996e-05
P_of_T;lifetime;-;5.0;100.0;94;200;(1.625+/-0.031)e+04;2.149+/-0.006;98095.7320572605;1.957935113205654;4.0739313873522887e-05
P_of_L;spatial linear size;-;5.0;30.0;24;200;(1.92+/-0.06)e+04;2.139+/-0.013;372667.6937218797;7.643106023562787;0.0001603844166875
E_of_S_T;total dissipation;lifetime;5.0;120.0;114;200;0.753+/-0.006;1.4970+/-0.0024;3.3388483676625884e-05;-1.3607340716960115e-05;5.963035704476704e-06
E_of_T_S;lifetime;total dissipation;5.0;400.0;394;200;1.514+/-0.007;1.5708+/-0.0027;4.6314290000194896e-05;1.7688222403460575e-05;7.1984867644051465e-06
E_of_S_L;total dissipation;spatial linear size;5.0;20.0;14;200;0.892+/-0.021;1.989+/-0.010;0.0004525387938566;-0.0002197661471043;0.0001096674090522
E_of_L_S;spatial linear size;total dissipation;5.0;400.0;394;200;0.992+/-0.005;1.863+/-0.004;2.0334793839732043e-05;1.6695332275398387e-05;1.518830610582414e-05
E_of_T_L;lifetime;spatial linear size;5.0;20.0;14;200;1.352+/-0.018;1.260+/-0.006;0.0003128616676961;-9.950694193773504e-05;3.2746398649454736e-05
E_of_L_T;spatial linear size;lifetime;5.0;100.0;94;200;0.863+/-0.004;1.2770+/-0.0026;1.939087204323518e-05;1.1020205581487346e-05;6.735232154785322e-06
