,name,unc_up,unc_lo
0,P_of_S,0.09718538984847462,0.10017983829094555
1,P_of_T,0.5610721878689051,0.1004041831797859
2,P_of_L,0.8942018787723498,0.10178899744078435
3,E_of_S_T,0.027784887978899626,0.10097524449091472
4,E_of_T_S,0.15408114745159462,0.10012492197250394
5,E_of_S_L,0.12206555615733704,0.07071067811865472
6,E_of_L_S,0.34667131407141283,0.10562196741208717
7,E_of_T_L,0.04664761515876244,0.10283968105745954
8,E_of_L_T,0.1813973538947027,0.10071742649611339
9,gamma1_gamma3_1,0.13928388277184153,0.1118033988749895
10,gamma1_gamma3_2,0.5007102255796262,0.10005118689950661
