fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
P_of_S;total dissipation;-;5.0;100.0;94;200;(2.25+/-0.06)e+04;2.424+/-0.010;367165.0783139805;5.675009735880585;9.155560287859428e-05
P_of_T;lifetime;-;5.0;100.0;94;200;(7.56+/-0.17)e+04;2.870+/-0.009;2736788.79760147;13.670789983713968;7.324165252290611e-05
P_of_L;spatial linear size;-;5.0;15.0;9;200;(1.26+/-0.09)e+05;3.260+/-0.033;75100186.61627373;286.73414882181345;0.0011157078605894
E_of_S_T;total dissipation;lifetime;5.0;60.0;54;200;0.690+/-0.008;1.560+/-0.005;7.122414581768529e-05;-3.813380286642112e-05;2.162858531256932e-05
E_of_T_S;lifetime;total dissipation;5.0;100.0;94;200;1.594+/-0.008;1.660+/-0.005;6.460686149941222e-05;3.570531516116798e-05;2.1843630891369373e-05
E_of_S_L;total dissipation;spatial linear size;5.0;20.0;14;200;0.623+/-0.020;2.495+/-0.015;0.0003885040183136;-0.0002852199596567;0.0002155869819818
E_of_L_S;spatial linear size;total dissipation;5.0;50.0;44;200;0.991+/-0.007;2.149+/-0.012;5.510448697499918e-05;8.457048669138793e-05;0.0001388433756006
E_of_T_L;lifetime;spatial linear size;5.0;20.0;14;200;1.232+/-0.027;1.463+/-0.010;0.0007268659534011;-0.0002795417227635;0.000109544781981
E_of_L_T;spatial linear size;lifetime;5.0;50.0;44;200;0.902+/-0.007;1.486+/-0.006;4.602072337010692e-05;4.1159787371620916e-05;3.884011872070607e-05
