,name,unc_up,unc_lo
0,P_of_S,0.16610839834276886,0.034525353003263946
1,P_of_T,0.6677206112017305,0.1004987562112089
2,P_of_L,0.6146844719040817,0.09075791976461367
3,E_of_S_T,0.01878829422805585,0.19816155025635016
4,E_of_T_S,0.13206059215375332,0.11307077429645557
5,E_of_S_L,0.10358088626768938,0.46478489648438426
6,E_of_L_S,0.0784474346298207,0.7381524232839719
7,E_of_T_L,0.1004987562112089,0.19725364381932198
8,E_of_L_T,0.12214745187681965,0.21508370463612542
9,gamma1_gamma3_1,0.10178899744078435,0.5703165787525384
10,gamma1_gamma3_2,0.389805656706005,0.4710046815053966
