,name,unc_up,unc_lo
0,P_of_S,0.011661903789690798,0.10017983829094555
1,P_of_T,0.1450861812854691,0.03832753579347385
2,P_of_L,0.1282497563350513,0.09932270636667123
3,E_of_S_T,0.04436496365376625,0.09702968617902459
4,E_of_T_S,0.0401995024844836,0.0840951841665144
5,E_of_S_L,0.29913542083812134,0.2871410803072245
6,E_of_L_S,0.07200694410957872,0.29824151287169937
7,E_of_T_L,0.13106105447462263,0.13505924625881785
8,E_of_L_T,0.07066371062999735,0.15552893621445493
9,gamma1_gamma3_1,0.26609208932247497,0.3290744596592084
10,gamma1_gamma3_2,0.17881118533246207,0.3314060349480678
