,name,unc_up,unc_lo
0,P_of_S,0.0161245154965973,0.10031948963187563
1,P_of_T,0.11535163631262431,0.07156814934033173
2,P_of_L,0.08062257748298557,0.15432433379088356
3,E_of_S_T,0.01649242250247066,0.12946180904034998
4,E_of_T_S,0.02570992026436501,0.09918165152889921
5,E_of_S_L,0.1899526256728241,0.39745439990016446
6,E_of_L_S,0.048703182647543725,0.32639240187234736
7,E_of_T_L,0.06395310782127787,0.20829066229670495
8,E_of_L_T,0.043289721643826655,0.18536744590137721
9,gamma1_gamma3_1,0.12826924806827217,0.47034455455548774
10,gamma1_gamma3_2,0.11483414126469556,0.3943099415434512
