chi_square1;degrees_of_freedom1;chi_square2;degrees_of_freedom2;fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
248.96923983291435;208.0;56.81648893502773;53.0;gamma1_gamma3_1;40.5;250.5;210;15.5;70.5;55;200;2.222+/-0.023;200
295.8991023367667;208.0;192.12268509669988;168.0;gamma1_gamma3_2;40.5;250.5;210;30.5;200.5;170;200;2.087+/-0.006;200
