chi_square;degrees_of_freedom;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
337.1637665627141;297.0;P_of_S;total dissipation;-;1.5;300.5;299;200;(3.12+/-0.05)e+03;2.106+/-0.005;2596.884866046843;0.2547854762814736;2.8079692467048336e-05
580.1510809483065;297.0;P_of_T;lifetime;-;1.5;300.5;299;200;(4.36+/-0.06)e+03;2.127+/-0.005;3586.213629597445;0.2709678411954702;2.221398443442329e-05
391.4402853613331;47.0;P_of_L;spatial linear size;-;1.5;50.5;49;200;(3.56+/-0.07)e+03;2.000+/-0.009;4931.85807761015;0.58641975197374;7.443455813016829e-05
397.1124690353185;245.0;E_of_S_T;total dissipation;lifetime;3.5;250.5;247;200;0.614+/-0.005;1.5547+/-0.0025;2.4477470666517096e-05;-1.1760577469143686e-05;6.467355361140704e-06
317.4703468574132;244.0;E_of_T_S;lifetime;total dissipation;4.5;250.5;246;200;1.400+/-0.008;1.534+/-0.004;6.798285466146179e-05;2.9900245597656085e-05;1.4910154900920303e-05
262.3346415811987;64.0;E_of_S_L;total dissipation;spatial linear size;4.5;70.5;66;200;0.794+/-0.020;2.035+/-0.009;0.0003988246027582;-0.0001834841536798;8.8559047128789e-05
153.55761905192978;92.0;E_of_L_S;spatial linear size;total dissipation;6.5;100.5;94;200;0.906+/-0.012;1.766+/-0.012;0.0001337457759577;0.0001363823102358;0.0001472375242744
207.24318485245612;65.0;E_of_T_L;lifetime;spatial linear size;3.5;70.5;67;200;1.389+/-0.013;1.250+/-0.004;0.0001711764086949;-4.509148948140858e-05;1.3022173632834456e-05
346.42310578507255;193.0;E_of_L_T;spatial linear size;lifetime;5.5;200.5;195;200;0.788+/-0.005;1.2321+/-0.0028;2.737931660813744e-05;1.3957094536027215e-05;7.978657362889617e-06
