,name,unc_up,unc_lo
0,P_of_S,0.04825971404805465,0.025495097567963837
1,P_of_T,0.05821511831131137,0.1590785969261736
2,P_of_L,0.1400892572612189,0.24705060210410346
3,E_of_S_T,0.02035411506305297,0.12332534208345011
4,E_of_T_S,0.047414976536955186,0.08516395951339975
5,E_of_S_L,0.2692248131209307,0.36916392023056643
6,E_of_L_S,0.08956003573022978,0.2831766233289746
7,E_of_T_L,0.05234500931320965,0.19769107213023052
8,E_of_L_T,0.03702175036380634,0.15332935139757184
9,gamma1_gamma3_1,0.11652038448271626,0.446135629601582
10,gamma1_gamma3_2,0.1265114224092041,0.33510431211788366
