chi_square;degrees_of_freedom;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
156.28346939547697;128.0;P_of_S;total dissipation;-;20.5;150.5;130;200;(1.12+/-0.15)e+04;2.550+/-0.034;2237477.884480478;50.73954092417194;0.001179797352777
67.59531438080894;68.0;P_of_T;lifetime;-;20.5;90.5;70;200;(1.10+/-0.26)e+05;3.30+/-0.06;693126859.1244024;1579.0770766945004;0.0037441582136464
9.180437231450089;3.0;P_of_L;spatial linear size;-;5.5;10.5;5;200;(5.7+/-1.6)e+04;3.60+/-0.14;242569594.062868;2065.55165890961;0.0182962667323007
63.39390260047973;48.0;E_of_S_T;total dissipation;lifetime;30.5;80.5;50;200;0.41+/-0.08;1.73+/-0.05;0.0065905515391805;-0.0040869660283562;0.002596085191377
87.33395013229227;78.0;E_of_T_S;lifetime;total dissipation;20.5;100.5;80;200;1.66+/-0.06;1.713+/-0.028;0.003609897650441;0.0016943484563827;0.0008057738158567
5.871163113808469;7.0;E_of_S_L;total dissipation;spatial linear size;11.5;20.5;9;200;0.28+/-0.25;3.12+/-0.25;0.0648802816163011;-0.0581997021551767;0.0618167224564774
89.22781015465492;68.0;E_of_L_S;spatial linear size;total dissipation;30.5;100.5;70;200;1.39+/-0.08;2.93+/-0.12;0.0059981364697563;0.009315963938681;0.0145965937795578
3.103262888022158;8.0;E_of_T_L;lifetime;spatial linear size;10.5;20.5;10;200;0.96+/-0.26;1.69+/-0.10;0.0674735944920691;-0.025639136498025;0.0101637015339208
70.14583421490202;78.0;E_of_L_T;spatial linear size;lifetime;20.5;100.5;80;200;1.18+/-0.07;1.82+/-0.06;0.005387208519765205;0.004591230242122302;0.00394806136685173
