fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
gamma1_gamma3_1;5.0;120.0;114;5.0;20.0;14;200;1.879+/-0.010;200
gamma1_gamma3_2;5.0;400.0;394;5.0;100.0;94;200;2.0046+/-0.0012;200
