number;lifetime;total dissipation;spatial linear size
812;1;1.0;0.0
813;10;20.0;5.385164807134504
814;11;26.0;4.47213595499958
815;2;2.0;1.0
816;4;4.0;2.23606797749979
817;9;17.0;4.47213595499958
818;5;5.0;3.1622776601683795
819;16;30.0;5.0990195135927845
820;1;1.0;0.0
821;23;36.0;6.324555320336759
822;5;5.0;2.0
823;5;5.0;3.1622776601683795
824;4;5.0;2.23606797749979
825;1;1.0;0.0
826;8;9.0;3.605551275463989
827;2;2.0;1.0
828;1;1.0;0.0
829;11;24.0;5.0990195135927845
830;3;3.0;1.4142135623730951
831;6;10.0;3.1622776601683795
832;3;3.0;1.4142135623730951
833;1;1.0;0.0
834;16;28.0;5.0
835;3;4.0;2.0
836;1;1.0;0.0
837;1;1.0;0.0
838;1;1.0;0.0
839;7;8.0;4.123105625617661
840;7;18.0;4.47213595499958
841;18;38.0;7.280109889280518
842;3;3.0;2.0
843;8;12.0;4.47213595499958
844;2;2.0;1.0
845;1;1.0;0.0
846;4;4.0;3.0
847;11;17.0;4.0
848;12;25.0;3.605551275463989
849;6;7.0;3.1622776601683795
850;1;1.0;0.0
851;2;2.0;1.0
852;8;11.0;5.385164807134504
853;2;3.0;1.0
854;9;25.0;5.656854249492381
855;1;1.0;0.0
856;5;6.0;3.1622776601683795
857;2;2.0;1.0
858;8;11.0;3.605551275463989
859;7;10.0;3.1622776601683795
860;6;11.0;3.605551275463989
861;1;1.0;0.0
862;22;37.0;6.082762530298219
863;7;9.0;4.0
864;10;13.0;6.4031242374328485
865;5;8.0;2.8284271247461903
866;1;1.0;0.0
867;2;2.0;1.0
868;4;10.0;3.0
869;1;1.0;0.0
870;5;13.0;3.1622776601683795
871;3;5.0;2.0
872;3;3.0;1.4142135623730951
873;8;15.0;3.1622776601683795
874;2;2.0;1.0
875;4;10.0;2.23606797749979
876;17;51.0;6.324555320336759
877;2;3.0;1.0
878;3;6.0;2.0
879;5;8.0;2.23606797749979
880;6;10.0;2.23606797749979
881;1;1.0;0.0
882;2;2.0;1.0
883;3;4.0;2.0
884;15;23.0;5.830951894845301
885;6;10.0;2.23606797749979
886;1;1.0;0.0
887;5;6.0;2.23606797749979
888;5;7.0;3.1622776601683795
889;7;19.0;4.123105625617661
890;8;11.0;3.605551275463989
891;2;2.0;1.0
892;2;2.0;1.0
893;8;20.0;3.605551275463989
894;3;3.0;2.0
895;1;1.0;0.0
896;4;5.0;3.0
897;2;2.0;1.0
898;5;8.0;2.23606797749979
899;4;5.0;2.0
900;11;30.0;5.385164807134504
901;1;1.0;0.0
902;2;2.0;1.0
903;17;36.0;7.211102550927978
904;1;1.0;0.0
905;3;5.0;1.4142135623730951
906;3;4.0;2.0
907;18;24.0;5.0990195135927845
908;2;2.0;1.0
909;1;1.0;0.0
910;5;5.0;2.23606797749979
911;1;1.0;0.0
912;5;8.0;2.23606797749979
913;16;33.0;6.4031242374328485
914;4;5.0;2.23606797749979
915;7;13.0;4.242640687119285
916;2;2.0;1.0
917;12;23.0;7.0710678118654755
918;5;8.0;3.1622776601683795
919;2;2.0;1.0
920;1;1.0;0.0
921;11;20.0;6.082762530298219
922;4;6.0;2.23606797749979
923;6;15.0;4.0
924;1;1.0;0.0
925;10;20.0;5.385164807134504
926;2;3.0;1.0
927;1;1.0;0.0
928;2;3.0;1.0
929;11;32.0;7.0710678118654755
930;7;11.0;4.47213595499958
931;4;5.0;3.0
932;10;18.0;3.605551275463989
933;1;1.0;0.0
934;4;7.0;2.23606797749979
935;9;12.0;5.0
936;5;8.0;2.23606797749979
937;8;17.0;4.123105625617661
938;1;1.0;0.0
939;9;12.0;4.242640687119285
940;3;3.0;1.4142135623730951
941;6;7.0;4.123105625617661
942;8;9.0;2.23606797749979
943;19;44.0;6.708203932499369
944;2;2.0;1.0
945;3;5.0;1.4142135623730951
946;1;1.0;0.0
947;9;23.0;4.242640687119285
948;6;7.0;2.23606797749979
949;2;2.0;1.0
950;9;14.0;3.1622776601683795
951;5;9.0;3.0
952;1;1.0;0.0
953;15;39.0;4.47213595499958
954;2;2.0;1.0
955;4;6.0;2.23606797749979
956;9;26.0;5.0
957;1;1.0;0.0
958;5;6.0;2.23606797749979
959;2;2.0;1.0
960;1;1.0;0.0
961;6;11.0;3.605551275463989
962;1;1.0;0.0
963;2;2.0;1.0
964;6;11.0;4.123105625617661
965;13;26.0;5.656854249492381
966;6;8.0;2.23606797749979
967;1;1.0;0.0
968;1;1.0;0.0
969;1;1.0;0.0
970;2;3.0;1.0
971;1;1.0;0.0
972;2;2.0;1.0
973;11;31.0;4.242640687119285
974;1;1.0;0.0
975;13;24.0;3.605551275463989
976;11;22.0;5.830951894845301
977;6;11.0;2.8284271247461903
978;1;1.0;0.0
979;1;1.0;0.0
980;1;1.0;0.0
981;18;35.0;7.280109889280518
982;1;1.0;0.0
983;5;9.0;2.8284271247461903
984;3;3.0;2.0
985;1;1.0;0.0
986;1;1.0;0.0
987;1;1.0;0.0
988;9;18.0;5.0
989;4;6.0;2.23606797749979
990;6;8.0;2.8284271247461903
991;2;2.0;1.0
992;15;30.0;6.0
993;5;6.0;2.23606797749979
994;2;2.0;1.0
995;4;6.0;2.23606797749979
996;2;2.0;1.0
997;10;16.0;5.0990195135927845
998;1;1.0;0.0
999;1;1.0;0.0
1000;9;10.0;2.0
1001;13;32.0;7.211102550927978
1002;3;4.0;1.4142135623730951
1003;4;6.0;2.23606797749979
1004;4;4.0;2.23606797749979
1005;2;2.0;1.0
1006;1;1.0;0.0
1007;2;2.0;1.0
1008;2;2.0;1.0
1009;6;6.0;2.23606797749979
1010;3;3.0;1.4142135623730951
1011;6;11.0;3.1622776601683795
1012;5;9.0;3.1622776601683795
1013;15;31.0;5.830951894845301
1014;6;12.0;3.605551275463989
1015;1;1.0;0.0
1016;2;2.0;1.0
1017;3;3.0;2.0
1018;13;47.0;7.615773105863909
1019;2;2.0;1.0
1020;1;1.0;0.0
1021;3;4.0;1.4142135623730951
1022;3;5.0;2.0
1023;2;2.0;1.0
1024;8;24.0;3.605551275463989
1025;13;30.0;5.0
1026;1;1.0;0.0
1027;1;1.0;0.0
1028;1;1.0;0.0
1029;2;2.0;1.0
1030;6;11.0;3.1622776601683795
1031;3;4.0;2.0
1032;5;8.0;1.4142135623730951
1033;9;11.0;4.242640687119285
1034;1;1.0;0.0
1035;7;14.0;3.1622776601683795
1036;1;1.0;0.0
1037;1;1.0;0.0
1038;1;1.0;0.0
1039;1;1.0;0.0
1040;1;1.0;0.0
1041;7;10.0;5.0990195135927845
1042;11;28.0;4.47213595499958
1043;1;1.0;0.0
1044;9;11.0;3.1622776601683795
1045;15;38.0;6.324555320336759
1046;6;10.0;2.23606797749979
1047;2;2.0;1.0
1048;2;2.0;1.0
1049;10;11.0;3.605551275463989
1050;1;1.0;0.0
1051;1;1.0;0.0
1052;8;17.0;6.082762530298219
1053;2;2.0;1.0
1054;2;2.0;1.0
1055;5;8.0;3.1622776601683795
1056;2;2.0;1.0
1057;1;1.0;0.0
1058;10;27.0;5.385164807134504
1059;5;10.0;2.8284271247461903
1060;9;11.0;2.8284271247461903
1061;2;2.0;1.0
1062;2;2.0;1.0
1063;1;1.0;0.0
1064;8;21.0;4.242640687119285
1065;1;1.0;0.0
1066;5;7.0;2.23606797749979
1067;4;5.0;2.0
1068;1;1.0;0.0
1069;7;29.0;5.0990195135927845
1070;1;1.0;0.0
1071;3;4.0;1.4142135623730951
1072;2;2.0;1.0
1073;1;1.0;0.0
1074;4;12.0;3.0
1075;9;22.0;4.47213595499958
1076;4;5.0;2.23606797749979
1077;15;30.0;7.615773105863909
1078;2;3.0;1.0
1079;1;1.0;0.0
1080;1;1.0;0.0
1081;8;17.0;4.242640687119285
1082;4;5.0;1.4142135623730951
1083;3;3.0;1.4142135623730951
1084;11;17.0;6.082762530298219
1085;4;6.0;2.23606797749979
1086;3;3.0;1.4142135623730951
1087;2;2.0;1.0
1088;7;8.0;4.47213595499958
1089;3;3.0;1.4142135623730951
1090;7;12.0;3.605551275463989
1091;9;24.0;5.0
1092;1;1.0;0.0
1093;5;7.0;3.1622776601683795
1094;4;8.0;2.23606797749979
1095;12;14.0;2.8284271247461903
1096;3;4.0;1.4142135623730951
1097;1;1.0;0.0
1098;2;3.0;1.0
1099;7;16.0;4.242640687119285
1100;3;3.0;1.4142135623730951
1101;1;1.0;0.0
1102;1;1.0;0.0
1103;2;2.0;1.0
1104;2;3.0;1.0
1105;1;1.0;0.0
1106;1;1.0;0.0
1107;1;1.0;0.0
1108;24;81.0;5.830951894845301
1109;1;1.0;0.0
1110;1;1.0;0.0
1111;13;24.0;5.656854249492381
1112;9;11.0;5.0990195135927845
1113;3;4.0;1.4142135623730951
1114;1;1.0;0.0
1115;2;2.0;1.0
1116;7;10.0;4.47213595499958
1117;9;12.0;4.242640687119285
1118;16;54.0;5.830951894845301
1119;6;10.0;2.8284271247461903
1120;2;2.0;1.0
1121;9;11.0;2.8284271247461903
1122;6;8.0;2.8284271247461903
1123;3;4.0;1.4142135623730951
1124;1;1.0;0.0
1125;4;7.0;3.0
1126;2;2.0;1.0
1127;10;15.0;4.242640687119285
1128;3;3.0;2.0
1129;5;8.0;2.8284271247461903
1130;20;45.0;6.708203932499369
1131;21;61.0;7.211102550927978
1132;3;3.0;1.4142135623730951
1133;8;9.0;5.0
1134;4;7.0;2.23606797749979
1135;8;19.0;4.47213595499958
1136;2;2.0;1.0
1137;3;4.0;1.4142135623730951
1138;4;5.0;2.23606797749979
1139;6;8.0;3.1622776601683795
1140;15;27.0;6.324555320336759
1141;1;1.0;0.0
1142;2;2.0;1.0
1143;10;20.0;3.605551275463989
1144;1;1.0;0.0
1145;2;2.0;1.0
1146;5;5.0;2.8284271247461903
1147;2;2.0;1.0
1148;5;6.0;2.23606797749979
1149;1;1.0;0.0
1150;15;54.0;5.830951894845301
1151;1;1.0;0.0
1152;1;1.0;0.0
1153;11;22.0;5.0990195135927845
1154;7;10.0;2.8284271247461903
1155;4;6.0;2.23606797749979
1156;1;1.0;0.0
1157;1;1.0;0.0
1158;11;22.0;5.0
1159;4;9.0;3.0
1160;19;48.0;9.219544457292887
1161;6;12.0;4.123105625617661
1162;17;32.0;6.324555320336759
1163;2;2.0;1.0
1164;8;12.0;2.8284271247461903
1165;2;2.0;1.0
1166;13;37.0;7.211102550927978
1167;7;8.0;4.123105625617661
1168;1;1.0;0.0
1169;5;12.0;2.8284271247461903
1170;3;3.0;1.4142135623730951
1171;4;4.0;2.23606797749979
1172;2;2.0;1.0
1173;5;5.0;2.0
1174;4;5.0;2.23606797749979
1175;1;1.0;0.0
1176;8;9.0;3.605551275463989
1177;5;8.0;2.8284271247461903
1178;2;2.0;1.0
1179;4;5.0;2.23606797749979
1180;2;2.0;1.0
1181;24;81.0;6.4031242374328485
1182;1;1.0;0.0
1183;2;2.0;1.0
1184;16;21.0;5.385164807134504
1185;2;2.0;1.0
1186;3;4.0;2.0
1187;3;4.0;2.0
1188;3;5.0;2.0
1189;7;10.0;4.47213595499958
1190;5;7.0;2.23606797749979
1191;3;4.0;1.4142135623730951
1192;8;20.0;4.47213595499958
1193;5;8.0;2.23606797749979
1194;1;1.0;0.0
1195;1;1.0;0.0
1196;9;14.0;5.0990195135927845
1197;2;2.0;1.0
1198;2;2.0;1.0
1199;7;12.0;4.47213595499958
1200;2;2.0;1.0
1201;8;9.0;2.23606797749979
1202;17;32.0;5.656854249492381
1203;2;2.0;1.0
1204;4;7.0;2.23606797749979
1205;5;5.0;2.23606797749979
1206;7;23.0;5.0990195135927845
1207;8;19.0;3.605551275463989
1208;4;6.0;1.4142135623730951
1209;6;9.0;3.0
1210;2;2.0;1.0
1211;4;4.0;2.23606797749979
1212;10;27.0;4.123105625617661
1213;1;1.0;0.0
1214;3;5.0;1.4142135623730951
1215;1;1.0;0.0
1216;8;12.0;3.605551275463989
1217;17;42.0;5.385164807134504
1218;1;1.0;0.0
1219;1;1.0;0.0
1220;3;4.0;1.4142135623730951
1221;15;22.0;6.082762530298219
1222;10;37.0;5.0
1223;5;11.0;3.1622776601683795
1224;8;10.0;4.47213595499958
1225;1;1.0;0.0
1226;3;3.0;1.4142135623730951
1227;1;1.0;0.0
1228;3;3.0;2.0
1229;8;17.0;5.385164807134504
1230;12;39.0;6.4031242374328485
1231;2;2.0;1.0
1232;13;25.0;7.0710678118654755
1233;5;5.0;2.8284271247461903
1234;3;3.0;2.0
1235;2;2.0;1.0
1236;3;4.0;1.4142135623730951
1237;1;1.0;0.0
1238;2;2.0;1.0
1239;14;31.0;4.47213595499958
1240;9;29.0;5.0990195135927845
1241;14;22.0;5.385164807134504
1242;2;2.0;1.0
1243;1;1.0;0.0
1244;3;6.0;2.0
1245;2;2.0;1.0
1246;2;2.0;1.0
1247;3;3.0;2.0
1248;10;14.0;6.4031242374328485
1249;11;20.0;6.4031242374328485
1250;5;9.0;2.23606797749979
1251;2;3.0;1.0
1252;3;3.0;2.0
1253;2;2.0;1.0
1254;1;1.0;0.0
1255;3;4.0;1.4142135623730951
1256;2;3.0;1.0
1257;1;1.0;0.0
1258;2;2.0;1.0
1259;1;1.0;0.0
1260;1;1.0;0.0
1261;5;5.0;2.8284271247461903
1262;7;12.0;4.0
1263;4;8.0;2.23606797749979
1264;1;1.0;0.0
1265;7;12.0;4.0
1266;2;2.0;1.0
1267;11;20.0;5.0990195135927845
1268;12;19.0;5.656854249492381
1269;6;11.0;4.123105625617661
1270;7;10.0;3.605551275463989
1271;6;9.0;4.123105625617661
1272;3;4.0;2.0
1273;1;1.0;0.0
1274;3;7.0;2.0
1275;2;2.0;1.0
1276;5;7.0;2.23606797749979
1277;6;10.0;3.0
1278;11;28.0;5.0
1279;7;10.0;3.605551275463989
1280;1;1.0;0.0
1281;3;5.0;2.0
1282;2;2.0;1.0
1283;10;27.0;5.0
1284;1;1.0;0.0
1285;13;26.0;6.4031242374328485
1286;6;7.0;3.605551275463989
1287;3;5.0;1.4142135623730951
1288;1;1.0;0.0
1289;7;10.0;4.123105625617661
1290;5;6.0;2.8284271247461903
1291;1;1.0;0.0
1292;1;1.0;0.0
1293;11;24.0;6.4031242374328485
1294;5;5.0;2.8284271247461903
1295;7;9.0;3.605551275463989
1296;11;22.0;5.656854249492381
1297;4;7.0;2.23606797749979
1298;1;1.0;0.0
1299;1;1.0;0.0
1300;1;1.0;0.0
1301;6;8.0;3.1622776601683795
1302;3;3.0;1.4142135623730951
1303;2;2.0;1.0
1304;1;1.0;0.0
1305;5;10.0;3.1622776601683795
1306;7;11.0;3.1622776601683795
1307;1;1.0;0.0
1308;2;2.0;1.0
1309;13;36.0;6.4031242374328485
1310;3;4.0;2.0
1311;7;12.0;4.0
1312;1;1.0;0.0
1313;2;2.0;1.0
1314;6;15.0;4.123105625617661
1315;5;6.0;3.1622776601683795
1316;23;36.0;5.0
1317;2;3.0;1.0
1318;2;2.0;1.0
1319;3;4.0;1.4142135623730951
1320;1;1.0;0.0
1321;1;1.0;0.0
1322;3;5.0;1.4142135623730951
1323;9;23.0;5.385164807134504
1324;1;1.0;0.0
1325;3;6.0;2.0
1326;4;6.0;2.23606797749979
1327;8;23.0;5.385164807134504
1328;1;1.0;0.0
1329;13;20.0;4.123105625617661
1330;2;2.0;1.0
1331;7;14.0;2.8284271247461903
1332;3;4.0;1.4142135623730951
1333;11;23.0;3.0
1334;5;5.0;4.0
1335;1;1.0;0.0
1336;5;7.0;2.0
1337;2;2.0;1.0
1338;6;13.0;3.605551275463989
1339;2;2.0;1.0
1340;12;23.0;4.47213595499958
1341;1;1.0;0.0
1342;3;4.0;1.4142135623730951
1343;3;3.0;1.4142135623730951
1344;4;6.0;2.23606797749979
1345;13;19.0;5.385164807134504
1346;9;13.0;3.1622776601683795
1347;1;1.0;0.0
1348;5;6.0;2.23606797749979
1349;6;9.0;4.123105625617661
1350;16;29.0;4.47213595499958
1351;1;1.0;0.0
1352;12;19.0;4.47213595499958
1353;1;1.0;0.0
1354;5;7.0;3.1622776601683795
1355;1;1.0;0.0
1356;2;2.0;1.0
1357;12;28.0;5.0
1358;3;3.0;1.4142135623730951
1359;9;15.0;4.47213595499958
1360;4;4.0;2.23606797749979
1361;5;7.0;3.1622776601683795
1362;11;24.0;4.242640687119285
1363;2;2.0;1.0
1364;9;23.0;3.605551275463989
1365;2;3.0;1.0
1366;1;1.0;0.0
1367;10;19.0;5.0
1368;5;6.0;3.1622776601683795
1369;1;1.0;0.0
1370;2;2.0;1.0
1371;5;7.0;3.1622776601683795
1372;2;2.0;1.0
1373;4;5.0;1.4142135623730951
1374;5;5.0;3.1622776601683795
1375;1;1.0;0.0
1376;1;1.0;0.0
1377;1;1.0;0.0
1378;8;20.0;4.123105625617661
1379;5;11.0;3.1622776601683795
1380;1;1.0;0.0
1381;7;13.0;4.242640687119285
1382;13;30.0;5.830951894845301
1383;1;1.0;0.0
1384;4;5.0;2.23606797749979
1385;9;14.0;5.385164807134504
1386;1;1.0;0.0
1387;9;22.0;4.47213595499958
1388;9;10.0;4.242640687119285
1389;2;3.0;1.0
1390;2;3.0;1.0
1391;11;43.0;5.385164807134504
