,name,unc_up,unc_lo
0,P_of_S,0.08935882720806039,0.07443117626371343
1,P_of_T,0.06609841147864291,0.19736514383244097
2,P_of_L,0.057706152185014174,0.4098902292077722
3,E_of_S_T,0.10012492197250394,0.08215229759416334
4,E_of_T_S,0.034365680554879194,0.11111255554616678
5,E_of_S_L,0.039962482405376004,0.40654274068048507
6,E_of_L_S,0.02865309756378892,0.4212327147788973
7,E_of_T_L,0.01802775637732005,0.17828067758453237
8,E_of_L_T,0.02500000000000002,0.16624743607045486
9,gamma1_gamma3_1,0.10127191120937731,0.35536038045904894
10,gamma1_gamma3_2,0.08075951956271162,0.3790126778882205
