chi_square1;degrees_of_freedom1;chi_square_ndof1;chi_square2;degrees_of_freedom2;chi_square_ndof2;fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
136.0004726012921;138.0;0.9855106710238558;44.049961941087055;23.0;1.9152157365690023;gamma1_gamma3_1;10.5;150.5;140;5.5;30.5;25;200;1.984+/-0.012;200
381.3135846394898;292.0;1.305868440546198;52.0678342309625;58.0;0.8977212798441809;gamma1_gamma3_2;6.5;300.5;294;10.5;70.5;60;200;1.9376+/-0.0030;200
