,name,unc_up,unc_lo
0,P_of_S,0.039204591567825464,0.02927456233660881
1,P_of_T,0.06926037828369112,0.12814054783713089
2,P_of_L,0.13912943613772036,0.2330772404161334
3,E_of_S_T,0.023831491770344604,0.18931650746831352
4,E_of_T_S,0.04782823433914331,0.09236633585890461
5,E_of_S_L,0.32215524208058455,0.3491432370818601
6,E_of_L_S,0.09861541461657997,0.31119447295863073
7,E_of_T_L,0.05930430001273111,0.17310401497365663
8,E_of_L_T,0.026857028875138016,0.1566268495501331
9,gamma1_gamma3_1,0.1244869471069157,0.49312270278298875
10,gamma1_gamma3_2,0.09781656301465502,0.3436047147522864
