,name,unc_up,unc_lo
0,P_of_S,0.11710678887237921,0.040311288741492785
1,P_of_T,0.07863841300534985,0.18127603261325007
2,P_of_L,0.2591929782999531,0.19026297590440444
3,E_of_S_T,0.005,0.08504710459504189
4,E_of_T_S,0.03820994634908563,0.10907336980216573
5,E_of_S_L,0.05980802621722277,0.4115361466505705
6,E_of_L_S,0.03220248437620936,0.4232316150761895
7,E_of_T_L,0.0486621002423858,0.14621901381147384
8,E_of_L_T,0.028861739379323646,0.16384959566626944
9,gamma1_gamma3_1,0.07694153624668544,0.320224920954007
10,gamma1_gamma3_2,0.09044976506326595,0.3693121850142505
