chi_square;degrees_of_freedom;chi_square_ndof;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
381.04622701027216;297.0;1.2829839293275156;P_of_S;total dissipation;-;1.5;300.5;299;200;(6.51+/-0.07)e+03;2.046+/-0.004;5620.841200125109;0.2619994299772409;1.3682323057590184e-05
494.0137943357904;295.0;1.674623031646747;P_of_T;lifetime;-;3.5;300.5;297;200;(1.061+/-0.015)e+04;2.089+/-0.004;21284.683605276543;0.5793729506065723;1.653690601015778e-05
921.8661337281123;47.0;19.614173058044944;P_of_L;spatial linear size;-;1.5;50.5;49;200;(7.60+/-0.08)e+03;1.917+/-0.005;6947.348131747947;0.3632307584868561;2.0894176887294542e-05
399.054391470285;242.0;1.648985088720186;E_of_S_T;total dissipation;lifetime;6.5;250.5;244;200;0.566+/-0.004;1.5772+/-0.0019;1.41580197393522e-05;-6.911160956686764e-06;3.6577406964831374e-06
291.9352179460663;241.0;1.2113494520583663;E_of_T_S;lifetime;total dissipation;7.5;250.5;243;200;1.437+/-0.008;1.5431+/-0.0034;6.390388612350319e-05;2.6118164266136144e-05;1.1382519909132624e-05
299.26882365598766;61.0;4.906046289442421;E_of_S_L;total dissipation;spatial linear size;7.5;70.5;63;200;0.603+/-0.013;2.126+/-0.007;0.0001674270190819;-9.216378016299836e-05;5.2255392303910095e-05
141.9513822870104;92.0;1.5429498074675043;E_of_L_S;spatial linear size;total dissipation;6.5;100.5;94;200;0.903+/-0.007;1.761+/-0.007;5.01072394437247e-05;5.1032498353544645e-05;5.490256095038568e-05
193.00731044649763;61.0;3.164054269614715;E_of_T_L;lifetime;spatial linear size;7.5;70.5;63;200;1.164+/-0.014;1.309+/-0.004;0.0001824800318314;-5.114970410215247e-05;1.489611936391627e-05
355.8235062555371;191.0;1.8629502945316079;E_of_L_T;spatial linear size;lifetime;7.5;200.5;193;200;0.816+/-0.004;1.2470+/-0.0022;1.7735768906567654e-05;8.991925349439198e-06;4.835817270447157e-06
