,name,unc_up,unc_lo
0,P_of_S,0.04924428900898056,0.03383784863137729
1,P_of_T,0.3963231005127003,0.4542818508371209
2,P_of_L,0.4130375285612678,0.5005037462397257
3,E_of_S_T,0.02469817807045686,0.10480935072788125
4,E_of_T_S,0.09035485598461222,0.12026637102698315
5,E_of_S_L,0.12206555615733704,0.35300991487492256
6,E_of_L_S,0.3813449881668827,0.5289688081541293
7,E_of_T_L,0.04632493928760181,0.06224146527838169
8,E_of_L_T,0.12007081243999308,0.2694754163184465
9,gamma1_gamma3_1,0.12083045973594601,0.2618186395198016
10,gamma1_gamma3_2,0.28702787321094786,0.6020132888898715
