;timestep;number;lifetime;total dissipation;spatial linear size
35952;970299;35952;1;1.0;0.0
35953;970319;35953;13;25.0;4.242640687119285
35954;970342;35954;1;1.0;0.0
35955;970346;35955;2;2.0;1.0
35956;970377;35956;1;1.0;0.0
35957;970384;35957;12;23.0;3.7416573867739413
35958;970397;35958;2;2.0;1.0
35959;970400;35959;5;6.0;1.7320508075688772
35960;970426;35960;4;16.0;2.23606797749979
35961;970432;35961;1;1.0;0.0
35962;970451;35962;11;27.0;4.58257569495584
35963;970468;35963;69;440.0;17.320508075688775
35964;970538;35964;18;52.0;7.14142842854285
35965;970559;35965;28;163.0;6.244997998398398
35966;970590;35966;1;1.0;0.0
35967;970611;35967;2;2.0;1.0
35968;970622;35968;1;1.0;0.0
35969;970631;35969;1;1.0;0.0
35970;970638;35970;6;9.0;2.449489742783178
35971;970647;35971;1;1.0;0.0
35972;970670;35972;51;658.0;10.677078252031311
35973;970724;35973;2;2.0;1.0
35974;970741;35974;5;6.0;2.0
35975;970747;35975;49;212.0;13.892443989449804
35976;970803;35976;1;1.0;0.0
35977;970811;35977;4;4.0;1.7320508075688772
35978;970820;35978;9;32.0;3.3166247903554
35979;970832;35979;5;11.0;2.449489742783178
35980;970864;35980;3;3.0;1.4142135623730951
35981;970876;35981;1;1.0;0.0
35982;970883;35982;3;5.0;1.4142135623730951
35983;970893;35983;1;1.0;0.0
35984;970895;35984;7;19.0;3.1622776601683795
35985;970905;35985;2;3.0;1.0
35986;970929;35986;2;2.0;1.0
35987;970939;35987;5;11.0;2.449489742783178
35988;970956;35988;8;30.0;4.123105625617661
35989;970970;35989;4;7.0;1.7320508075688772
35990;970984;35990;1;1.0;0.0
35991;970990;35991;107;1756.0;15.937377450509228
35992;971113;35992;10;20.0;4.69041575982343
35993;971126;35993;19;87.0;4.795831523312719
35994;971146;35994;6;13.0;2.23606797749979
35995;971157;35995;1;1.0;0.0
35996;971180;35996;2;2.0;1.0
35997;971189;35997;1;1.0;0.0
35998;971200;35998;1;1.0;0.0
35999;971225;35999;1;1.0;0.0
36000;971238;36000;27;95.0;6.0
36001;971271;36001;3;4.0;1.4142135623730951
36002;971289;36002;6;20.0;2.6457513110645907
36003;971312;36003;4;8.0;2.23606797749979
36004;971320;36004;22;58.0;4.69041575982343
36005;971371;36005;7;19.0;2.449489742783178
36006;971381;36006;3;3.0;1.4142135623730951
36007;971386;36007;1;1.0;0.0
36008;971393;36008;1;1.0;0.0
36009;971407;36009;1;1.0;0.0
36010;971410;36010;3;4.0;1.4142135623730951
36011;971414;36011;15;80.0;5.477225575051661
36012;971430;36012;22;91.0;6.0
36013;971455;36013;2;2.0;1.0
36014;971459;36014;2;2.0;1.0
36015;971462;36015;3;4.0;2.0
