,name,unc_up,unc_lo
0,P_of_S,0.12233151678941928,0.07355270219373312
1,P_of_T,0.40008384662481733,0.12515989773086234
2,P_of_L,0.5836719969297827,0.10866922287382015
3,E_of_S_T,0.02012461179749812,0.19720547659738039
4,E_of_T_S,0.07915806970865316,0.15308167754502824
5,E_of_S_L,0.10358088626768938,0.4358371255411818
6,E_of_L_S,0.05728001396647847,0.7521701935067622
7,E_of_T_L,0.1004987562112089,0.19226024029944408
8,E_of_L_T,0.09725224933131364,0.23710335299189686
9,gamma1_gamma3_1,0.10178899744078435,0.5703165787525382
10,gamma1_gamma3_2,0.2771112772876628,0.5803053851206277
