fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
P_of_S;total dissipation;-;10.0;500.0;489;100;0.9999999999999999+/-nan;1.0+/-nan;;;
P_of_T;lifetime;-;10.0;200.0;189;100;0.9999999999999999+/-nan;1.0+/-nan;;;
P_of_L;spatial linear size;-;10.0;60.0;49;100;0.9999999999999999+/-nan;1.0+/-nan;;;
E_of_S_T;total dissipation;lifetime;10.0;400.0;389;100;0.9999999999999999+/-nan;1.0+/-nan;;;
E_of_T_S;lifetime;total dissipation;10.0;400.0;389;100;0.9999999999999999+/-nan;1.0+/-nan;;;
E_of_S_L;total dissipation;spatial linear size;10.0;20.0;9;100;0.09+/-0.07;3.57+/-0.23;0.0054519445111283;-0.0160987979673753;0.0537373227539995
E_of_L_S;spatial linear size;total dissipation;10.0;400.0;389;100;0.9999999999999999+/-nan;1.0+/-nan;;;
E_of_T_L;lifetime;spatial linear size;10.0;20.0;9;100;0.63+/-0.16;1.85+/-0.10;0.0265158756291362;-0.0157253609005438;0.0096367464708018
E_of_L_T;spatial linear size;lifetime;10.0;100.0;89;100;1.007+/-0.013;1.674+/-0.011;0.0001727832476342148;0.00014806603466330052;0.00013219859121561464
