chi_square1;degrees_of_freedom1;chi_square2;degrees_of_freedom2;fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
inf;138.0;inf;13.0;gamma1_gamma3_1;10.5;150.5;140;15.5;30.5;15;200;1.0+/-nan;0
inf;268.0;inf;43.0;gamma1_gamma3_2;30.5;300.5;270;25.5;70.5;45;200;1.0+/-nan;0
