,name,unc_up,unc_lo
0,P_of_S,0.1400571312000929,0.10007996802557444
1,P_of_T,0.2090382740074172,0.04816637831516922
2,P_of_L,0.2280548179714693,0.09313431161500038
3,E_of_S_T,0.024872675770813396,0.11281600063820735
4,E_of_T_S,0.05300915015353498,0.08416869964541435
5,E_of_S_L,0.2840862545073241,0.3800644682155909
6,E_of_L_S,0.08927485648266277,0.3100790221862806
7,E_of_T_L,0.060133185513491685,0.19004210059878832
8,E_of_L_T,0.05504398241406587,0.15671544276171387
9,gamma1_gamma3_1,0.13713132391981056,0.42804205400871553
10,gamma1_gamma3_2,0.14820661253803769,0.33080296250184943
