chi_square;degrees_of_freedom;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
51.27345515164775;27.0;P_of_S;total dissipation;-;1.5;30.5;29;200;(6.45+/-0.13)e+03;2.310+/-0.011;16328.861997728309;1.345898530852974;0.0001213993621197
117.99711032279023;27.0;P_of_T;lifetime;-;1.5;30.5;29;200;(8.59+/-0.14)e+03;2.359+/-0.009;20698.49831189444;1.2864519932469527;8.67278711500449e-05
113.14299703799745;4.0;P_of_L;spatial linear size;-;1.5;7.5;6;200;(7.25+/-0.22)e+03;2.300+/-0.026;49527.648449904766;5.484696616575816;0.0006559350234562
255.85941470677423;17.0;E_of_S_T;total dissipation;lifetime;1.5;20.5;19;200;0.771+/-0.004;1.465+/-0.004;1.6190471855724692e-05;-1.3574881390666351e-05;1.4557112920649442e-05
91.19107620382502;17.0;E_of_T_S;lifetime;total dissipation;1.5;20.5;19;200;1.288+/-0.008;1.467+/-0.007;6.581386232311642e-05;5.635873641608761e-05;5.348960799531376e-05
475.44263178422943;8.0;E_of_S_L;total dissipation;spatial linear size;1.5;11.5;10;200;1.657+/-0.025;1.965+/-0.011;0.0006311771119671;-0.0002708982465111;0.0001321421104705
115.6734941308754;12.0;E_of_L_S;spatial linear size;total dissipation;1.5;15.5;14;200;0.687+/-0.004;1.600+/-0.009;1.8252274548058703e-05;3.66898094872268e-05;8.911830800861951e-05
260.8158188603838;7.0;E_of_T_L;lifetime;spatial linear size;1.5;10.5;9;200;1.942+/-0.019;1.219+/-0.007;0.0003632758104929;-0.0001289773593783;5.122573597064828e-05
245.84957948210837;12.0;E_of_L_T;spatial linear size;lifetime;1.5;15.5;14;200;0.6228+/-0.0032;1.204+/-0.004;1.0398366534245322e-05;1.3614900950725437e-05;2.0244100755251786e-05
