chi_square1;degrees_of_freedom1;chi_square2;degrees_of_freedom2;fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
220.6178408339981;208.0;73.55820561167712;53.0;gamma1_gamma3_1;40.5;250.5;210;15.5;70.5;55;200;2.155+/-0.024;200
187.75230800439468;208.0;200.988245739996;168.0;gamma1_gamma3_2;40.5;250.5;210;30.5;200.5;170;200;2.046+/-0.006;200
