fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
gamma1_gamma3_1;5.0;70.0;64;5.0;20.0;14;200;2.65+/-0.04;200
gamma1_gamma3_2;5.0;100.0;94;5.0;100.0;94;200;2.7753+/-0.0027;200
