chi_square1;degrees_of_freedom1;chi_square2;degrees_of_freedom2;fit function;left bin edge 1;right bin edge 1;count of bins 1;left bin edge 2;right bin edge 2;count of bins 2;bootstrap size;product from fit result;number of valid fits
127.3670868761947;138.0;15.97144681723703;13.0;gamma1_gamma3_1;10.5;150.5;140;15.5;30.5;15;200;2.06+/-0.05;200
300.37566393871;268.0;42.728301000130905;43.0;gamma1_gamma3_2;30.5;300.5;270;25.5;70.5;45;200;2.028+/-0.008;200
