,name,unc_up,unc_lo
0,P_of_S,0.04903060268852509,0.1004987562112089
1,P_of_T,0.3853323241047912,0.10127191120937731
2,P_of_L,0.9051789878250601,0.10160708636704431
3,E_of_S_T,0.02865309756378873,0.10097524449091472
4,E_of_T_S,0.08628441342444192,0.10024470060806208
5,E_of_S_L,0.12206555615733704,0.07071067811865472
6,E_of_L_S,0.35444745731913513,0.1049952379872535
7,E_of_T_L,0.04939635614091391,0.10332473082471592
8,E_of_L_T,0.1212023102090055,0.10261091559868278
9,gamma1_gamma3_1,0.12083045973594601,0.1118033988749895
10,gamma1_gamma3_2,0.3040263146505581,0.10007996802557444
